"disc_number";"duration_ms";"name";"track_number";"album";"artist";"author";"lyrics_url";"lyrics"
"1";"260213";"Pleamar de Águilas";"3";"Durazno Sangrando";"Invisible";"";"https://genius.com/Invisible-pleamar-de-aguilas-lyrics";"  Cuento las estrellas En el libro que un Dios me dejó Cuento bien las horas Todo tiempo me disparará Lejos de aquí Atrás del mar Donde la materia es luz y nada más De allí zarpa el barco lento Pleamar Con el sol a barlovento Pleamar Pleamar Pleamar de águilas  Capitán busco los vientos antes de llorar  De allí zarpa el barco lento Pleamar Con el sol a barlovento Pleamar Pleamar Pleamar de águilas  Capitán conserva el rumbo Antes de soñar  Llega pronto pronto a tierra Como el cormorán Si las águilas se esfuman Amanecerá  "
"1";"594813";"En una Lejana Playa del Animus";"4";"Durazno Sangrando";"Invisible";"";"https://genius.com/Invisible-en-una-lejana-playa-del-animus-lyrics";"  Una niña descalza  Anda en la playa,,  Como gota de lluvia  Sobre la zarza...  Los aldeanos se van durmiendo  Toda estrella fugaz  Conoce su nombre...  Así como el agua viaja  Conociendo el aire del lugar...  Y hoy por fin  La inmensidad fue el bien...  Y hoy por fin  La inmensidad fue tibia y fugaz...  Como el sol...  Solo sé que Dios vendrá...  ¡ruego que venga ya!  Besa el violín  Que ya nunca jamás  Sonará...  Bebe la sombra  De un indio  En un río divino...  Sin querer te marcarás  Hasta que al morir  Buscarás el sinfín  Y antes del alba  Tendrás tu rocío final  "
"1";"165466";"Dios De Adolescencia";"5";"Durazno Sangrando";"Invisible";"Luis Alberto Spinetta";"https://genius.com/Invisible-dios-de-la-adolescencia-lyrics";"  Ella sólo intenta ser feliz Tropezando está Nadan hoy sus ojos entre el rimel Su mentira, ya se hundió En la hiedra  Ves, en su abismo Con sus enaguas quiere escapar De la bruma Tan apurada está Que atropella el viento en la avenida  Hoy su inútil pétalo secó Por su soledad Y con las campanas se divierte Pensando que son de aquí De la muerte  Ah, si pudiera Si ella quisiera abrirse del ser Y la nada Tal vez podría ver Que su Dios está en la adolescencia  Correrás al fin con frenesí Por tu libertad Pero ni bien una lágrima caiga Mil estrellas juzgaran que es en vano  Ya que Dios es un mundo En el que amar es la eternidad Que uno busca Y no lo pienses mas Que tu mueca esta tan despintada  "
"1";"265440";"Jugo De Lucuma";"1";"Invisible";"Invisible";"Luis Alberto Spinetta";"https://genius.com/Invisible-jugo-de-lucuma-lyrics";"  Jugo de lúcuma Chorreando en mí... Patas de mueble de bronce Caminan ya... Ardiendo están Apenas solas Las esferas... Esperando por ella... Lorena duerme Perdió los zapatos... Manchas de rouge y sangre... Impiden verla... Arcos de luces De aquella noche En la que bebí... De su cuerpo de Lúcuma... Voy a extrañar Una canción... Y ninguna más Ya que a esta la encontré En tu dormitorio...  "
"1";"521640";"El Diluvio y la Pasajera";"2";"Invisible";"Invisible";"Luis Alberto Spinetta";"https://genius.com/Invisible-el-diluvio-y-la-pasajera-lyrics";"  Todo el mundo contento está Los recuerdos cesaron al fin Ya sé Los recreos entre el sol Esperan... A que el viento sople fuerte Con su boca marfil Y el diluvio caiga contemplándote... Con el río la luna oye Los claroscuros esconden perlas... Y es así Que desde el cuerpo del volcán Ya muerto Los indígenas preparan otro rayo laser... Para que el diluvio Ya jamás los seque... ¿Y en qué ternura están Aquellos ignorados que se duermen? Y tanto como para no ver Al menos sin ser vísta: una reina... Pero ahora bien: Puede usted mil veces golpear... En sueños... Que puertas del diluvio No, no hay... Si ya no la esperan a cenar en casa... Debe ser porque se marcha Y nunca regresa por la noche... Sin embargo por las mañanas Amanece en su cama... La más leve brisa que recorre el patio Debe ser quién la desnuda Cuando corre loca a dividirse... Con su boca tocando el suelo El suelo de azahar  "
"1";"337800";"Suspensión";"3";"Invisible";"Invisible";"Luis Alberto Spinetta";"https://genius.com/Invisible-suspension-lyrics";"  Nunca estuve aquí querida Nunca estuve aquí (ni nunca estaré) No me canso (no querida) Nunca tuve sueño (nunca estaré) ¡Ah! ¿qué duende no es tu puerta? Nunva estuve aquí Lo siento por mí... Halo de la hierba verde Dale que tu canto pasa por mí Por mí... Cuiden de la nube-viento La querida sol-querida saldrá... Nunca me abandones nena Sola sin el sol ceguera tendrás... Cuiden a su cuerpo blanco Trepa por su cama en la oscuridad... Nunca estuve allí querida Trepo por los sueños Que están de más... De más... De más... Oh, yeah !!! Antes del tiempo Era todo azul... Y leve de suspensión... Al no haber gente No había bien ni mal No existía esperar... Antes del fruto La noticia corrió... Luego del día El dragón vomitó... (el fuego) Era... Año... Día... Mes, minuto... Era... Año... Día... Mes, minuto... Antes del cuerpo Un narcótico Explotó con los dioses... Y con los hombres El demonio entró Escapando de Dios... Presa del miedo El reloj se apuró... Hojas del árbol Cayendo en suspensión...  "
"1";"142146";"Tema De Elmo Lesto";"4";"Invisible";"Invisible";"Luis Alberto Spinetta";"";"Nunca estuve aquí querida,
nunca estuve aquí,
ni nunca estaré

no me canso, no querida
nunca tuve sueño,
nunca estaré

¡Ah! ¿qué duende no es tu puerta?
nunca estuve aquí,
lo siento por mí...
halo de la hierba verde,
dale que tu canto pasa por mí, por mí...

Cuiden de la nube-viento,
la querida sol-querida saldrá...
nunca me abandones nena,
sola sin el sol ceguera tendrás...
cuiden a su cuerpo blanco,
trepa por su cama en la oscuridad...
nunca estuve allí querida,
trepo por los sueños,
que están de más...de más...

Antes del tiempo,
era todo azul...
y leve de suspensión...
al no haber gente,
no había bien ni mal,
no existía esperar...
antes del fruto,
la noticia corrió...
luego del día,
el dragón vomitó...el fuego

Era, año, día, mes, minuto...
Era, año, día, mes, minuto...

Antes del cuerpo,
un narcótico,
explotó con los dioses...
y con los hombres,
el demonio entró,
escapando de Dios...
presa del miedo,
el reloj se apuró...
hojas del árbol,
cayendo en suspensión..."
"1";"495573";"Azafata del Tren Fantasma";"5";"Invisible";"Invisible";"Luis Alberto Spinetta";"https://genius.com/Invisible-azafata-del-tren-fantasma-lyrics";"  El rey come su carne Bebe de más ... Sirven mesas en llamas Y agria la sal... El señor del castillo Da la reunión Con la escena muriente de un bufón... Y en la escalera está La azafata del tren fantasma... El rey urga en sus muelas Antes de armar Y sus vasallos vomitan Tanta traición... Hasta que lentamente Uno de ellos se acerca... Y le clava una daga por la espalda... Y en el jardín está la azafata Del tren fantasma... La puedo ver reír a la azafata Del tren fantasma... Con sus manos de frío El rey dormirá... Y la eterna azafata Lo embalsamará... No habrá flores ni vientos Que lo hagan gritar...  "
"1";"454773";"Irregular";"6";"Invisible";"Invisible";"Luis Alberto Spinetta";"https://genius.com/Invisible-irregular-lyrics";"  Mientras la ciudad calla O prosigue... Y aún en el corazón De la urbe... Se escucha el clamor de un grito De inocencia... ¿es que no hay nada ni nadie Que comprenda? Y entre los telones de esta farsa... Se sacude ansioso El misterio eterno... De aquellas mismas venas Sangraba Dios... (Dios y su troupe) Su cabeza cayó de rodillas... Y su vientre rodó Por entre el tráfico... (que es irregular)  "
"1";"157546";"Tema De Pototo (Para Saber Como Es La Soledad)";"1";"El 1er Álbum Más los Singles";"Almendra";"";"https://genius.com/Almendra-tema-de-pototo-para-saber-como-es-la-soledad-lyrics";"  [Letra de ""Tema de Pototo (Para Saber Cómo Es La Soledad)""]  [Verso 1] Para saber como es la soledad Tendrás que ver que a tu lado no está Quien nunca a ti te dejaba pensar En donde estaba el bien, en donde la maldad  [Estribillo] La soledad es un amigo que no está Es su palabra que no ves llegar igual Si es que sus sueños son luces en torno a ti Tu te das cuenta que él ya nunca ha de morir Nunca ha de morir  [Verso 1] Al observar como muere la flor Tu verás que también muere la paz Es que esa paz revivirá en su voz La flor te la dará para plantarla igual  [Estribillo] La soledad es un amigo que no está Es su palabra que no ves llegar igual Si es que sus sueños son luces en torno a ti Tu te das cuenta que él ya nunca ha de morir Nunca ha de morir  [Otro] Para saber como es la soledad Habrás que ver que un amigo que no está Para saber como es la soledad Habrás que ver que un amigo que no está  "
"1";"139226";"El Mundo Entre Las Manos";"2";"El 1er Álbum Más los Singles";"Almendra";"";"https://genius.com/Almendra-el-mundo-entre-las-manos-lyrics";"  Por más que tenga el mundo entre las manos Por más que pueda hacerte muy feliz No sé si he de llegar a donde quieres Porque siempre te has negado para mí Lalalala  Por más que sea el amo de las cosas Por más que yo te pueda hacer feliz No se si he de llegar a lo que buscas Porque siempre te has negado para mí Lalalala  Y tú y las rosas dónde están? Y tú porque quieres que Marchite tanto tiempo He mandado al viento a decirte Queda poco tiempo Puede marchitarlo  Por más que tenga el mundo entre las manos Por más que pueda hacerte muy feliz No se si he de llegar adonde quieres Porque siempre te has negado para mí  Y tú y las rosas dónde están? Y tú porque quieres que Marchite tanto tiempo He mandado al viento a decirte Queda poco tiempo Puede marchitarlo  Por más que tenga el mundo entre las manos Por más que pueda hacerte muy feliz No se si he de llegar adonde quieres Porque siempre te has negado para mí  "
"1";"178146";"Hoy Todo El Hielo En La Ciudad";"3";"El 1er Álbum Más los Singles";"Almendra";"";"https://genius.com/Almendra-hoy-todo-el-hielo-en-la-ciudad-lyrics";"  El hielo cubre la ciudad El cielo ya no existe aquí Un congelado amanecer Tiñe de blanco hasta mi hogar Cuando la luz ya no puede llegar La gente en vano se pone a rezar No es el diluvio, no es el infierno Voy a perforar el hielo Voy a remontarme al cielo Para observar hoy todo el hielo en la ciudad Siendo las doce en mi reloj Parece haberse puesto el sol Inmóvil ha quedado un tren Entre el hielo de la estación Mientras no hay nadie que pueda ayudar Los niños saltan de felicidad No es el diluvio, no es el infierno Voy a perforar el hielo Voy a remontarme al cielo Para observar hoy todo el hielo en la ciudad  "
"1";"160493";"Campos Verdes";"4";"El 1er Álbum Más los Singles";"Almendra";"Emilio del Guercio";"https://genius.com/Almendra-campos-verdes-lyrics";"  Campos verdes en mi tierra natal Ya se han ido, nunca más volverán Cielos claros en mi tierra natal Se han nublado, nunca más volverán Si mi tierra llora conmigo No, no es verdad que todo sigue igual Si mi tierra llora contigo No, no es verdad Que todo es como ayer La quiero florecer Campos verdes en mi tierra natal Ya se han ido nunca más volverán Los juglares en mi tierra natal Se han perdido, nunca más volverán..  "
"1";"167346";"Gabinetes Espaciales";"5";"El 1er Álbum Más los Singles";"Almendra";"";"https://genius.com/Almendra-gabinetes-espaciales-lyrics";"  Gabinetes espaciales Donde la gente va Los que llegan de la tierra Esos los más... ahahaha... Algunos saben porque lloran Algunos quieren ver la aurora  Gabinetes espaciales Flotando sin razón Circos de polietileno Para ver el sol... ohohoh... En navidad todos se juntan Explotan bombas en la luna  Gabinetes espaciales Donde la gente va Los que llegan de la tierra Esos los más... ahahaha... Algunos saben porque lloran Algunos quieren ver la aurora  "
"1";"145853";"Final";"6";"El 1er Álbum Más los Singles";"Almendra";"";"";"Brillos, plantas vengan hacia mi
yo también me dormí detrás
de la gran ciudad, vestido de gris
Y dejé mis zapatos para un arlequín
que una vez se llamó Fermín
y fue piel al fin, y fue piel al fin

Chimeneas no me engañen más,
quiero ver cielos de verdad,
sin humo ni ollín, quiero madrugar
con los grillos y las plantas y voy a gritar:
vivo aquí, yo nací después
de la gran ciudad, y hoy habrá función
para ver a un arlequín bailando sobre el sol
sobre el sol, sobre el sol... "
"1";"187786";"Muchacha (Ojos de Papel)";"7";"El 1er Álbum Más los Singles";"Almendra";"Edelmiro Molinar";"https://genius.com/Almendra-muchacha-ojos-de-papel-lyrics";"  Letra de ""Muchacha (Ojos de Papel)""Muchacha ojos de papel ¿Adónde vas? Quédate hasta el alba Muchacha pequeños pies No corras más, quédate hasta el alba  Sueña un sueño despacito entre mis manos Hasta que por la ventana suba el sol Muchacha piel de rayón No corras más, tu tiempo es hoy  Y no hables más muchacha Corazón de tiza Cuando todos duerman Te robaré un color (bis)  Muchacha voz de gorrión ¿Adónde vas? Quédate hasta el día Muchacha pechos de miel No corras más, quedate hasta el día  Duerme un poco y yo entre tanto construiré Un castillo en tu vientre hasta que el sol Muchacha te haga reír Hasta llorar, hasta llorar  "
"1";"552173";"Color Humano";"8";"El 1er Álbum Más los Singles";"Almendra";"";"https://genius.com/Almendra-color-humano-lyrics";"  Beso mares de algodón Sin mareas, suaves son Sublimándonos, despertándonos Somos seres humanos Sin saber lo que es hoy Un ser humano Vida y sangre sin ardor No hace falta, hay calor No miremos hoy, descansemos hoy Vemos todos colores Sin saber lo que es hoy un color  "
"1";"212546";"Figuración";"9";"El 1er Álbum Más los Singles";"Almendra";"";"https://genius.com/Almendra-figuracion-lyrics";"  Figúrate que pierdes la cabeza Sales a la calle Sin embargo el mundo Sigue bajo el sol, todo bajo el sol Debajo del sol Figurate que no eres mas un hombre Sales a la calle Sin embargo hay árboles Como hubo ayer, calles como ayer Luces como ayer En la plaza todo te parece igual Tu ya no eres hombre pero llorarás Si vas a perder tu amor Alguien te ha dicho ya Aunque no eres real Vas a perder tu amor Figurate que pierdes la cabeza Y aunque no lo creas Se te va la voz Como se fue tu piel Nada te queda ya Sólo la realidad La realidad es caminar igual Tu ya no eres hombre pero llorarás Si vas a perder tu amor Alguien te ha dicho ya Aunque no eres real Vas a perder tu amor Figurate que has vuelto a ser el mismo Nada te contenta A partir del alba Te verás caer, ya sin figurar Te verás caer  "
"1";"166960";"Ana No Duerme";"10";"El 1er Álbum Más los Singles";"Almendra";"";"https://genius.com/Almendra-ana-no-duerme-lyrics";"  [Letra de ""Ana No Duerme""]  Ana no duerme Espera el día Sola en su cuarto Ana quiere jugar Sobre la alfombra Toca su sombra Cuenta las luces Mira la gran ciudad Ana no duerme Juega con hadas Tal vez mañana Despierte sobre el mar, el mar Sobre el mar, el mar Ana de noche Hoy es un hada Canta palabras Canta y se torna en luz Sobre la alfombra Toca su sombra Cuenta las luces Mira la gran ciudad Ana no duerme Juega con hadas Tal vez mañana Despierte sobre el mar, el mar Sobre el mar, el mar Ana no duerme Espera el día Sola en su cuarto Ana quiere jugar Sobre la alfombra Toca su sombra Cuenta las luces Mira la gran ciudad Ana no duerme Juega con hadas Tal vez mañana Despierte sobre el mar, el mar Sobre el mar, el mar  "
"1";"200373";"Fermín";"11";"El 1er Álbum Más los Singles";"Almendra";"";"";"Las manos de fermín
Giran y él también
Gira y da más vueltas

Pobrecito fermín
Quiere ser feliz.
Gira y da más vueltas

En el hospicio le darán
Agua, sol y pan
Y un ave que guarde su nombre
En el hospicio ha de morir
Y antes de callar
El ave vendrá desde el mar

Lo llevará hasta la mar
Hoy tus sueños, fermín
Saben a aserrín
Giran y dan vueltas
Hoy tu tristeza al sol
Quiere ser real
Aunque no lo creas

En el hospicio le darán
Agua, sol y pan
Y un ave que guarde su nombre
En el hospicio le dirán
Pronto has de morir

La noche izará su final de gotera
Y el ave aquel lo llevará
Fermín se fue a la vida
No se cuando vendrá"
"1";"243400";"Plegaria para un Niño Dormido";"12";"El 1er Álbum Más los Singles";"Almendra";"";"https://genius.com/Almendra-plegaria-para-un-nino-dormido-lyrics";"  [Letra de ""Plegaria Para Un Niño Dormido""]  Plegaria para un niño dormido Quizás tenga flores en su ombligo Y además en sus dedos que se vuelven pan Barcos de papel sin altamar Plegaria para el sueño del niño Donde el mundo es un chocolatín A donde vas Mil niños dormidos que no están Entre bicicletas de cristal Se ríe el niño dormido Quizás se sienta gorrión esta vez Jugueteando inquieto en los jardines de un lugar Que jamás despierto encontrará Que nadie, nadie despierte al niño Déjenlo que siga soñando felicidad Destruyendo trapos de lustrar Alejándose de todo el mal Se ríe el niño dormido Quizás se sienta gorrión esta vez Jugueteando inquieto en los jardines de un lugar Que jamás despierto encontrará Plegaria para un niño dormido Quizás tenga flores en su ombligo Y además en sus dedos que se vuelven pan Barcos de papel sin altamar  "
